BasicMove [start=Point [a=3, b=4], end=Point [a=3, b=3]]
BasicMove [start=Point [a=3, b=1], end=Point [a=3, b=2]]
BasicMove [start=Point [a=4, b=1], end=Point [a=3, b=1]]
BasicMove [start=Point [a=3, b=3], end=Point [a=3, b=4]]
BasicMove [start=Point [a=3, b=2], end=Point [a=3, b=3]]
BasicMove [start=Point [a=4, b=2], end=Point [a=3, b=2]]
BasicMove [start=Point [a=5, b=3], end=Point [a=5, b=2]]
BasicMove [start=Point [a=4, b=1], end=Point [a=5, b=1]]
BasicMove [start=Point [a=5, b=3], end=Point [a=5, b=4]]
BasicMove [start=Point [a=4, b=2], end=Point [a=5, b=2]]
BasicMove [start=Point [a=2, b=2], end=Point [a=3, b=2]]
BasicMove [start=Point [a=1, b=3], end=Point [a=1, b=2]]
BasicMove [start=Point [a=1, b=2], end=Point [a=1, b=1]]
BasicMove [start=Point [a=2, b=3], end=Point [a=1, b=3]]
BasicMove [start=Point [a=3, b=3], end=Point [a=2, b=3]]
BasicMove [start=Point [a=2, b=3], end=Point [a=2, b=4]]
BasicMove [start=Point [a=3, b=2], end=Point [a=3, b=3]]
BasicMove [start=Point [a=4, b=1], end=Point [a=3, b=1]]
BasicMove [start=Point [a=3, b=1], end=Point [a=2, b=1]]
BasicMove [start=Point [a=5, b=2], end=Point [a=5, b=1]]
BasicMove [start=Point [a=4, b=3], end=Point [a=4, b=2]]
BasicMove [start=Point [a=5, b=3], end=Point [a=5, b=2]]
BasicMove [start=Point [a=3, b=4], end=Point [a=4, b=4]]
BasicMove [start=Point [a=4, b=4], end=Point [a=5, b=4]]
BasicMove [start=Point [a=4, b=3], end=Point [a=4, b=4]]
BasicMove [start=Point [a=2, b=4], end=Point [a=3, b=4]]
BasicMove [start=Point [a=4, b=3], end=Point [a=4, b=2]]
BasicMove [start=Point [a=3, b=4], end=Point [a=4, b=4]]
BasicMove [start=Point [a=3, b=3], end=Point [a=3, b=4]]
BasicMove [start=Point [a=3, b=1], end=Point [a=3, b=2]]
BasicMove [start=Point [a=4, b=1], end=Point [a=3, b=1]]
BasicMove [start=Point [a=3, b=1], end=Point [a=2, b=1]]vgmj,n9p;
BasicMove [start=Point [a=4, b=2], end=Point [a=4, b=1]]
BasicMove [start=Point [a=4, b=4], end=Point [a=4, b=3]]
BasicMove [start=Point [a=5, b=4], end=Point [a=4, b=4]]
BasicMove [start=Point [a=5, b=2], end=Point [a=5, b=1]]
BasicMove [start=Point [a=4, b=3], end=Point [a=5, b=3]]
BasicMove [start=Point [a=4, b=4], end=Point [a=4, b=3]]
BasicMove [start=Point [a=5, b=3], end=Point [a=5, b=4]]
BasicMove [start=Point [a=4, b=3], end=Point [a=4, b=4]]
BasicMove [start=Point [a=4, b=2], end=Point [a=4, b=3]]
BasicMove [start=Point [a=3, b=1], end=Point [a=4, b=1]]
BasicMove [start=Point [a=5, b=4], end=Point [a=5, b=3]]
BasicMove [start=Point [a=4, b=4], end=Point [a=5, b=4]]
BasicMove [start=Point [a=4, b=3], end=Point [a=4, b=4]]
BasicMove [start=Point [a=3, b=1], end=Point [a=2, b=1]]
BasicMove [start=Point [a=5, b=1], end=Point [a=4, b=1]]
BasicMove [start=Point [a=5, b=3], end=Point [a=5, b=2]]
BasicMove [start=Point [a=5, b=2], end=Point [a=5, b=1]]
BasicMove [start=Point [a=5, b=4], end=Point [a=5, b=3]]
BasicMove [start=Point [a=5, b=3], end=Point [a=5, b=2]]
BasicMove [start=Point [a=4, b=3], end=Point [a=5, b=3]]
BasicMove [start=Point [a=4, b=2], end=Point [a=4, b=3]]
